episodes,total_rewards
1,183.80392697494892
2,167.36841666549515
3,167.35282987928048
4,176.61439860223717
5,186.6795168335897
6,205.9622124284918
7,176.90949749494794
8,209.52063119329546
9,202.5294370198733
10,224.93328560001828
11,164.45969746719683
12,189.2829664869986
13,196.48659444833223
14,195.76979303687682
15,170.12141575684896
16,196.5330130462208
17,173.8850985029029
18,199.363867992739
19,183.96894887675643
20,171.04757662114457
21,193.30456661434508
22,221.91008255788608
23,163.9880411088106
24,167.3741865735654
25,199.0187334355635
26,215.9190623183165
27,266.5110955338981
28,570.9292756371051
29,247.14848025199188
30,183.9718238800133
31,171.115275905374
32,170.5095696754442
33,208.9180630124521
34,190.46674442956544
35,190.28360946739326
36,158.26964618365753
37,193.2818912158475
38,157.5167590837682
39,241.97832794291506
40,183.8572147528321
41,176.8997630342788
42,199.63486705028723
43,203.36850065138924
44,170.41232260357236
45,238.30689673484986
46,202.49107056732427
47,176.83597739370282
48,190.3073581056114
49,170.28110664685408
50,167.550295066283
51,180.29205591481036
52,176.8918121852062
53,186.74268542418326
54,163.84896455014226
55,215.39527490926656
56,174.00763829401302
57,228.3972922629179
58,163.97277778422875
59,167.59960727360357
60,209.68005224381926
61,193.3173754694438
62,186.77579813707956
63,183.91612802654393
64,203.12676348794753
65,173.9350130706149
66,170.37041737040178
67,183.89003285248523
68,180.36801380954353
69,154.7469860773226
70,170.30786306062737
71,180.28823805118788
72,144.7614080133333
73,171.12686989638982
74,199.74337672106967
75,173.8773172266534
76,173.89450744731448
77,161.15966242990643
78,163.91559049246138
79,186.91420466868178
80,183.91947856523979
81,163.89933795258537
82,170.48469577825648
83,171.15031761924496
84,196.7403411016591
85,203.19844596621604
86,170.43273711516562
87,171.13207528720847
88,171.081328996381
89,154.73690382189872
90,177.51985122622978
91,183.9158676312445
92,161.1681216900506
93,203.16447078554006
94,161.10162803412345
95,157.5571292709084
96,183.9089391297979
97,163.94673664920592
98,171.10046187322195
99,170.37383723551574
100,167.47502877898896
101,144.70427257300418
102,203.34304097227852
103,216.00938616470035
104,203.27241902173887
105,186.7350624815781
106,199.6642459243081
107,183.90699919182094
108,189.7852195360491
109,186.77829294154805
110,193.10921278492557
111,190.2888827983519
112,167.52333549121784
113,190.29094699428646
114,209.70471080066756
115,164.7351295294702
116,177.53994411156359
117,151.15265142227335
118,180.35987252086198
119,151.14037018515103
120,196.71411958735496
121,190.33718730509187
122,171.07166639239603
123,151.08798817777551
124,151.14363346184226
125,193.14331392734016
126,183.95347861955497
127,167.48786931110683
128,161.1235666756649
129,164.73305214714676
130,157.50748746157694
131,170.37879099583046
132,186.8108609880618
133,154.68773602552866
134,151.10595524024612
135,190.34576877903032
136,183.88705370762992
137,167.51805197569755
138,170.32852055079013
139,196.13736933156
140,171.14451971964252
141,167.47305122988826
142,161.09676208324916
143,183.30762217865686
144,183.9469790562869
145,180.2811065788032
146,202.62402503819484
147,193.33238814576484
148,151.1346890750595
149,193.17415784171467
150,203.21359832615275
151,144.76859244579654
152,180.28204783655138
153,170.30908203501394
154,171.11632687896207
155,144.7688323315874
156,161.09544953399956
157,163.96946033725013
158,193.21115854650765
159,171.1204403592182
160,173.85254607148312
161,180.27280759076564
162,167.54439415488247
163,144.75490957284836
164,144.73592360935535
165,170.3246493010618
166,216.19013772139868
167,177.5462057447727
168,167.52864899842737
169,161.0662457055061
170,144.74233929397343
171,171.14530703488825
172,171.15414891497272
173,177.55554703132026
174,161.0936356739042
175,163.88373135879252
176,171.16364269153246
177,161.1742294870181
178,183.87305852449822
179,151.1490176460186
180,203.1509954460762
181,144.7619878582929
182,215.9721106965477
183,196.9085416767666
184,161.10883705941913
185,203.10127091544277
186,180.35254964930317
187,144.7306267117038
188,161.0916139566665
189,196.08651166377632
190,154.74541625762268
191,183.91183049849388
192,144.73717469085608
193,154.7441026189132
194,173.87828118903246
195,183.204089254353
196,144.7419593060214
197,151.14951914893538
198,157.5396460866331
